location,bhk,bathrooms,area_sqft,parking,furnishing,metro_distance_km,property_age,floor,total_floors,price
Laxmi Nagar,2,2,2671,0,Unfurnished,11.45,2,13,28,13038687
South Extension,2,2,1558,1,Furnished,12.39,19,15,19,13946032
Ghaziabad,3,3,3606,0,Semi-Furnished,11.07,1,15,26,19176677
Noida,2,4,1667,2,Unfurnished,7.33,19,4,4,7886253
Dwarka,5,4,2861,1,Unfurnished,7.12,11,4,18,14155625
Rohini,5,4,3262,1,Unfurnished,1.64,8,10,15,16460778
Noida,1,1,3485,2,Furnished,12.78,13,6,9,17569249
Pitampura,5,2,2921,2,Unfurnished,7.59,17,7,21,13968801
Ghaziabad,2,3,1093,2,Semi-Furnished,10.13,6,10,21,5703829
Rohini,1,2,2636,0,Semi-Furnished,11.84,19,17,36,12662561
Dwarka,2,4,3643,0,Unfurnished,12.47,16,18,25,16147230
Rohini,2,3,2976,2,Semi-Furnished,3.42,2,3,8,16820971
Janakpuri,1,3,3867,1,Semi-Furnished,4.91,14,5,11,20305348
Saket,4,1,1897,0,Unfurnished,11.25,3,2,18,9342523
Vasant Kunj,4,4,1589,0,Unfurnished,0.61,5,18,20,15477715
Karol Bagh,5,2,1687,0,Semi-Furnished,2.6,9,19,35,9124675
Gurugram,5,4,3042,1,Furnished,10.05,8,8,27,30333159
Saket,2,4,743,0,Semi-Furnished,6.11,13,17,27,3342320
Janakpuri,1,1,3477,0,Unfurnished,1.73,17,7,12,17107900
Laxmi Nagar,2,4,2721,1,Unfurnished,10.05,8,2,19,13311588
Janakpuri,2,3,1919,1,Furnished,13.64,12,3,17,9456416
Rohini,3,4,3974,2,Semi-Furnished,10.63,7,13,22,20382764
Saket,3,1,1168,1,Semi-Furnished,3.98,8,9,14,6156771
Dwarka,2,2,1995,2,Furnished,8.02,19,17,20,10090950
Vasant Kunj,4,1,2379,1,Semi-Furnished,8.97,16,18,31,21147187
Ghaziabad,3,2,2130,0,Furnished,5.86,15,14,16,11935596
Vasant Kunj,2,3,1735,2,Furnished,7.28,2,12,19,17981240
Pitampura,1,1,3876,1,Furnished,14.76,8,13,22,20431595
Karol Bagh,2,2,2257,0,Furnished,10.24,13,11,17,11760719
Karol Bagh,1,3,2999,1,Furnished,4.29,18,18,24,16522158
Dwarka,3,2,894,2,Semi-Furnished,5.3,4,1,1,4634686
Rohini,5,1,2598,1,Furnished,1.57,12,17,19,14816626
Pitampura,3,1,2858,0,Furnished,6.69,19,16,27,15435295
Rohini,1,4,695,1,Unfurnished,2.78,17,1,7,3632565
Vasant Kunj,4,4,2267,1,Unfurnished,5.09,19,5,24,19704919
Gurugram,2,1,1629,0,Semi-Furnished,11.83,17,12,22,13726659
Rohini,5,1,2083,1,Furnished,5.03,16,5,10,11210148
Laxmi Nagar,3,2,826,1,Unfurnished,7.22,18,10,15,4225566
Gurugram,3,4,546,1,Semi-Furnished,4.57,1,7,21,5308856
Ghaziabad,5,2,1307,1,Semi-Furnished,2.34,5,5,9,7442812
Ghaziabad,5,1,2539,1,Unfurnished,11.67,10,6,8,11943900
Vasant Kunj,3,1,1043,2,Furnished,1.17,12,8,27,10771339
Vasant Kunj,1,4,1612,1,Unfurnished,4.83,7,2,15,14625591
Karol Bagh,4,3,3725,2,Unfurnished,7.24,5,5,10,18785869
Vasant Kunj,2,2,3084,2,Furnished,5.36,3,11,15,32637819
Karol Bagh,5,3,3461,1,Unfurnished,12.16,1,13,25,16965995
Laxmi Nagar,1,2,526,0,Furnished,1.87,13,14,25,2923540
Vasant Kunj,5,4,2090,2,Furnished,3.91,12,4,21,21950359
Janakpuri,2,3,2692,1,Unfurnished,8.24,6,13,21,13540391
Pitampura,2,2,1844,2,Unfurnished,1.68,8,2,17,9116185
Vasant Kunj,1,3,2282,1,Semi-Furnished,10.42,1,1,6,21199462
Saket,2,2,3175,2,Furnished,1.67,2,19,29,19413397
Karol Bagh,1,1,2554,0,Unfurnished,12.71,18,9,25,11520967
Dwarka,5,2,2635,2,Unfurnished,3.26,0,12,30,13622687
South Extension,5,1,734,2,Semi-Furnished,3.14,1,17,32,7314854
Janakpuri,3,2,3983,2,Furnished,5.38,18,16,19,21259754
Saket,4,1,2327,2,Unfurnished,11.43,0,18,21,11470722
Rohini,3,2,1946,2,Semi-Furnished,9.54,13,12,26,9307408
Rohini,5,1,1085,2,Unfurnished,8.65,15,16,19,4914036
Pitampura,5,2,2657,0,Unfurnished,10.63,5,11,27,13040854
Laxmi Nagar,1,3,3203,1,Semi-Furnished,12.47,14,2,21,15232341
Rohini,3,4,2627,2,Unfurnished,5.61,3,18,21,12985454
Vasant Kunj,3,2,2409,2,Furnished,10.74,19,5,13,22212545
Dwarka,3,4,3394,0,Furnished,1.21,1,18,30,21062156
Janakpuri,4,1,2105,1,Furnished,8.93,10,5,22,11689572
Janakpuri,3,1,2513,2,Semi-Furnished,9.16,2,12,26,12947789
Saket,5,3,2638,1,Furnished,5.23,18,9,26,14556854
Karol Bagh,3,3,3729,1,Unfurnished,2.72,4,5,8,19597944
Gurugram,5,4,2563,0,Furnished,11.57,15,2,9,24058817
South Extension,5,1,3326,0,Unfurnished,13.64,19,1,1,25538213
Rohini,2,2,1603,2,Furnished,12.88,8,3,13,8914031
Janakpuri,1,4,1420,1,Furnished,3.63,10,7,15,8533398
Ghaziabad,5,2,2513,2,Furnished,14.37,12,5,12,12851403
Pitampura,4,4,3732,1,Semi-Furnished,5.65,11,7,19,19118146
Gurugram,1,1,1768,0,Semi-Furnished,12.05,0,19,36,16586011
South Extension,3,1,1741,1,Semi-Furnished,11.21,1,10,15,16002889
Dwarka,5,1,2052,2,Furnished,8.51,17,11,30,10610210
Vasant Kunj,5,4,3998,2,Unfurnished,4.57,2,6,12,37030083
Rohini,5,3,2215,0,Semi-Furnished,8.59,9,14,24,11263457
Noida,4,3,2106,1,Furnished,2.66,18,6,7,11799140
Janakpuri,4,4,1434,0,Semi-Furnished,1.37,8,18,37,8441016
Noida,2,2,3547,0,Unfurnished,2.11,17,11,21,17770294
Karol Bagh,3,2,3067,2,Unfurnished,0.75,0,3,14,16446369
Gurugram,1,4,2447,0,Unfurnished,10.39,0,18,23,21210760
Ghaziabad,4,3,3998,1,Furnished,4.61,17,16,28,22355714
Saket,1,1,2368,0,Unfurnished,4.12,5,5,18,12673446
Karol Bagh,4,2,3509,2,Semi-Furnished,7.64,9,14,32,18031566
Ghaziabad,5,2,785,2,Unfurnished,9.96,8,14,17,4172150
Rohini,4,4,3175,0,Furnished,2.1,18,17,30,18296819
Janakpuri,5,2,1537,1,Semi-Furnished,2.24,14,19,29,8306410
South Extension,3,4,2986,0,Semi-Furnished,8.09,5,16,27,28641593
Dwarka,5,3,987,0,Semi-Furnished,9.21,8,13,29,5484491
Ghaziabad,4,1,3642,0,Unfurnished,7.14,16,16,30,17610991
Janakpuri,1,2,3406,1,Unfurnished,4.52,11,3,11,16954784
Ghaziabad,5,2,1497,2,Semi-Furnished,6.12,7,3,17,7835949
Janakpuri,3,2,790,1,Unfurnished,11.92,7,10,19,4053150
Noida,3,2,577,2,Semi-Furnished,9.38,8,13,21,2862361
Pitampura,5,4,801,0,Furnished,3.52,12,6,19,5015552
Karol Bagh,5,1,3635,1,Semi-Furnished,7.45,8,17,36,19095892
Gurugram,2,1,3917,1,Semi-Furnished,11.05,9,11,12,34885351
Vasant Kunj,4,3,1959,2,Furnished,12.15,6,1,12,19041824
Pitampura,1,3,3061,2,Unfurnished,5.18,13,18,22,15215668
Vasant Kunj,5,2,2651,1,Unfurnished,0.99,5,7,25,25145037
Karol Bagh,3,1,1364,0,Semi-Furnished,10.1,0,10,22,7659053
Saket,4,1,1914,1,Semi-Furnished,2.82,10,9,15,10462719
Noida,3,2,1876,1,Semi-Furnished,11.35,8,15,33,9704127
Dwarka,1,3,2214,0,Unfurnished,5.03,1,14,30,11361886
Rohini,2,3,3637,0,Unfurnished,8.16,2,14,24,18579957
Karol Bagh,1,4,979,2,Semi-Furnished,6.24,8,16,24,5278077
Ghaziabad,4,1,3715,1,Semi-Furnished,1.7,13,10,10,20407086
Janakpuri,1,3,1801,2,Semi-Furnished,4.94,10,14,20,9943145
Noida,2,4,903,2,Semi-Furnished,12.42,10,15,24,4013394
Rohini,4,1,3874,1,Unfurnished,7.25,11,4,15,18380293
Vasant Kunj,5,2,1863,1,Unfurnished,12.56,16,16,19,15191055
Saket,5,2,3252,0,Unfurnished,13.84,10,14,15,14771939
Dwarka,3,2,3959,2,Unfurnished,14.74,5,7,26,17709288
Rohini,3,4,3439,0,Semi-Furnished,12.34,0,19,31,17446151
Pitampura,4,4,1808,0,Semi-Furnished,2.59,6,13,25,10466899
Dwarka,1,4,3912,0,Semi-Furnished,4.93,15,5,15,19748090
Karol Bagh,2,3,1762,1,Furnished,8.23,14,11,19,9060101
Dwarka,4,4,3281,0,Semi-Furnished,11.36,5,14,24,16870121
Laxmi Nagar,4,1,1066,2,Semi-Furnished,4.89,7,6,14,5473907
Gurugram,5,2,2401,1,Unfurnished,6.37,14,15,31,20958944
Karol Bagh,2,3,3122,0,Unfurnished,12.56,7,9,11,14147534
Ghaziabad,1,3,608,0,Unfurnished,9.51,1,1,20,2647753
Saket,4,1,2277,0,Semi-Furnished,3.19,16,2,11,11973948
Pitampura,5,3,2728,0,Furnished,13.66,1,12,13,14794434
Saket,3,4,3084,0,Furnished,5.99,2,8,23,17884096
Rohini,3,2,2771,0,Furnished,11.86,14,18,37,13980618
Rohini,5,3,1198,1,Semi-Furnished,14.5,4,10,16,6183473
Dwarka,1,4,3414,1,Unfurnished,7.39,15,13,16,15938775
Ghaziabad,3,3,2510,1,Furnished,9.84,3,17,22,14409857
Laxmi Nagar,3,1,2733,0,Furnished,2.12,9,9,24,16069704
Karol Bagh,2,4,1608,1,Unfurnished,14.76,15,17,26,7385553
Janakpuri,2,2,1576,0,Unfurnished,14.83,4,15,22,7572770
Pitampura,5,1,1575,0,Unfurnished,11.56,0,11,25,7382875
Pitampura,3,4,2914,1,Unfurnished,11.98,9,12,24,13570661
Karol Bagh,3,1,1856,1,Furnished,10.08,10,5,8,10291992
Karol Bagh,1,3,1531,1,Unfurnished,10.84,18,10,18,7017775
Janakpuri,5,4,2779,0,Semi-Furnished,3.65,13,8,23,14848087
Gurugram,4,2,2040,0,Semi-Furnished,4.77,18,17,26,18601076
Gurugram,5,3,1806,1,Semi-Furnished,8.58,19,1,7,15961738
Rohini,2,3,905,2,Furnished,1.1,15,7,9,5147700
Gurugram,5,2,1900,1,Semi-Furnished,8.3,15,15,27,16758824
South Extension,3,4,2442,2,Unfurnished,13.88,0,1,16,20355427
Janakpuri,2,2,2606,0,Furnished,5.52,17,5,9,14264841
Karol Bagh,1,4,641,0,Semi-Furnished,9.1,17,15,21,3336369
Pitampura,2,1,785,0,Unfurnished,14.34,18,19,31,3245778
South Extension,2,1,2578,2,Semi-Furnished,1.39,15,1,19,24709287
Pitampura,2,4,3726,1,Furnished,5.13,5,13,13,22018920
Ghaziabad,1,2,2587,0,Unfurnished,0.97,5,9,26,13317595
Karol Bagh,4,2,2353,1,Furnished,9.78,19,15,16,12581679
Noida,4,2,3949,0,Semi-Furnished,6.59,15,10,17,20440707
Noida,5,4,620,1,Furnished,7.03,7,12,28,3805141
Ghaziabad,1,1,3435,0,Furnished,2.8,5,10,18,20756864
Karol Bagh,5,4,3080,1,Unfurnished,9.63,17,4,15,14481304
Ghaziabad,1,2,2526,2,Furnished,6.61,15,15,34,13983416
Janakpuri,3,2,799,1,Furnished,6.94,7,3,21,4527916
Janakpuri,1,2,3601,2,Unfurnished,1.86,19,14,15,17416106
Gurugram,4,3,1128,2,Furnished,7.97,19,5,17,10304012
Laxmi Nagar,3,1,1319,2,Unfurnished,6.64,14,18,33,6327895
Pitampura,2,1,3588,2,Semi-Furnished,2.19,16,5,5,18583470
Karol Bagh,5,3,1655,0,Unfurnished,2.56,14,10,20,8518741
South Extension,2,4,665,2,Unfurnished,5.97,11,18,27,5804139
Saket,4,1,2788,0,Unfurnished,8.23,18,11,11,12379745
Karol Bagh,4,1,1612,2,Unfurnished,4.24,14,17,34,7968720
Janakpuri,2,3,3535,0,Semi-Furnished,3.33,19,8,18,18251178
Laxmi Nagar,1,3,2749,2,Unfurnished,9.52,4,13,21,13797198
Noida,3,3,3773,0,Unfurnished,10.44,17,10,24,16523214
Ghaziabad,3,2,827,1,Unfurnished,5.9,2,7,24,4002029
Noida,5,1,1061,0,Unfurnished,10.74,16,2,16,5076813
Noida,1,3,2480,2,Semi-Furnished,5.18,11,14,28,13417655
South Extension,1,2,803,0,Semi-Furnished,9.46,1,10,27,7906774
Ghaziabad,2,1,3568,0,Furnished,12.52,14,3,12,17860415
Janakpuri,1,2,3707,2,Semi-Furnished,12.35,13,15,34,18170182
Saket,4,2,3974,0,Furnished,14.83,10,14,27,20324269
Rohini,5,2,3697,1,Furnished,1.49,2,3,5,22369520
Vasant Kunj,4,1,1893,1,Semi-Furnished,4.58,2,1,10,18450492
Noida,5,1,3209,1,Unfurnished,6.94,1,10,21,16328247
Dwarka,3,3,2260,1,Furnished,6.94,12,7,8,12806382
Dwarka,4,3,1546,1,Unfurnished,3.39,14,19,25,7542187
Karol Bagh,4,2,2954,1,Unfurnished,5.3,0,6,10,14950667
Rohini,1,3,972,0,Unfurnished,9.25,1,17,28,4995824
Noida,2,4,3728,1,Unfurnished,7.96,13,17,33,17343149
Gurugram,5,1,1774,2,Furnished,12.96,18,17,22,16023463
Karol Bagh,3,3,1046,2,Furnished,6.81,2,5,18,5973896
Karol Bagh,4,1,1875,1,Unfurnished,7.28,12,2,21,9384453
Rohini,4,3,3006,0,Semi-Furnished,12.83,7,10,11,15320282
Pitampura,2,3,3832,1,Furnished,3.93,15,12,13,21547602
Janakpuri,2,1,1035,0,Furnished,0.79,17,7,11,5918011
Vasant Kunj,5,3,3372,0,Unfurnished,6.54,1,5,9,31160814
Vasant Kunj,2,1,1250,0,Semi-Furnished,2.77,2,19,33,13019580
Janakpuri,1,2,2761,0,Unfurnished,1.58,0,3,8,14701620
Vasant Kunj,5,2,1521,2,Furnished,3.3,14,11,16,16015799
Pitampura,1,2,1362,1,Semi-Furnished,2.78,5,18,37,7254703
South Extension,1,3,3253,2,Unfurnished,10.51,13,14,26,27316150
Vasant Kunj,5,1,2444,0,Furnished,13.39,6,2,13,23653297
Gurugram,5,3,1067,1,Unfurnished,3.42,4,4,13,10361766
Noida,5,2,668,0,Furnished,13.26,16,13,18,3035696
Rohini,4,1,1418,2,Unfurnished,2.1,0,14,15,8021340
Saket,3,1,3743,0,Furnished,14.23,18,5,11,18956334
Karol Bagh,1,1,2110,0,Unfurnished,6.43,12,8,18,10585997
Ghaziabad,2,1,3502,2,Furnished,4.59,6,8,13,20497655
Gurugram,4,4,3094,1,Semi-Furnished,5.94,2,14,31,30049063
Saket,4,3,2079,1,Semi-Furnished,4.99,11,9,18,11408930
Karol Bagh,4,2,1677,0,Furnished,12.43,19,10,15,8222290
Saket,4,1,3859,2,Unfurnished,12.01,17,7,20,16619310
Gurugram,1,1,3495,1,Unfurnished,4.1,2,18,31,32594079
South Extension,5,4,2468,0,Furnished,12.19,16,13,26,22244138
South Extension,1,1,2062,1,Furnished,10.76,9,5,22,19563472
Janakpuri,5,1,1241,0,Furnished,8.71,8,7,16,7115434
Karol Bagh,2,2,3234,1,Unfurnished,4.83,17,3,3,15357711
South Extension,1,2,1230,0,Unfurnished,8.72,11,15,18,10708628
Noida,2,3,601,1,Unfurnished,13.44,14,16,25,2954894
South Extension,5,3,3070,0,Furnished,9.6,13,6,15,29932530
Gurugram,2,1,2557,1,Furnished,8.71,8,15,21,25365573
Noida,4,4,2507,1,Unfurnished,8.84,7,5,6,12124896
Gurugram,3,4,2271,2,Furnished,1.0,3,14,32,25176854
Janakpuri,2,1,1317,1,Semi-Furnished,2.65,14,1,12,7276059
Ghaziabad,5,4,3366,2,Semi-Furnished,3.16,12,6,18,18476641
Ghaziabad,5,4,2267,0,Semi-Furnished,2.61,19,12,30,11808583
Gurugram,2,3,2114,0,Furnished,4.58,18,12,15,20684810
Noida,4,3,1033,1,Unfurnished,2.85,11,16,29,5420576
Rohini,3,1,3642,0,Unfurnished,9.68,9,10,27,17412297
South Extension,1,3,659,1,Unfurnished,6.44,9,9,23,6119683
Dwarka,3,4,3905,0,Unfurnished,2.92,2,8,9,20762201
Saket,2,3,1285,2,Furnished,0.58,9,7,10,7851400
Laxmi Nagar,3,1,1071,1,Furnished,5.19,18,18,32,5700476
Gurugram,3,3,729,1,Unfurnished,5.24,10,19,22,6065125
South Extension,3,1,985,1,Unfurnished,12.95,9,10,19,8538459
Janakpuri,4,2,2334,2,Semi-Furnished,12.82,3,12,28,12016882
Rohini,5,4,567,2,Furnished,10.34,7,2,10,3593898
Saket,5,3,1332,1,Semi-Furnished,8.39,10,17,23,7234206
Pitampura,3,3,3888,2,Unfurnished,6.11,7,1,5,18908126
Janakpuri,3,3,3424,1,Furnished,4.81,10,2,10,19197524
Dwarka,3,2,2163,0,Unfurnished,2.68,9,5,13,11441020
Gurugram,2,2,941,1,Furnished,6.68,9,18,22,9964391
Noida,5,3,1640,2,Semi-Furnished,3.1,15,5,13,8909067
Dwarka,4,1,3751,0,Unfurnished,8.9,11,7,7,18171685
Pitampura,2,4,3998,0,Furnished,13.77,7,8,18,20894285
Noida,5,1,3035,1,Semi-Furnished,11.11,16,5,23,14469485
Noida,2,3,618,2,Unfurnished,11.15,7,1,14,3124337
Ghaziabad,2,3,802,1,Unfurnished,13.11,0,14,33,4171104
Karol Bagh,1,1,1696,0,Unfurnished,1.4,16,4,8,8231776
Dwarka,1,1,1917,0,Furnished,12.7,12,18,29,9602173
South Extension,2,1,1786,2,Semi-Furnished,10.37,5,6,25,16809865
Dwarka,5,1,3678,1,Furnished,7.95,1,9,27,21386593
Janakpuri,1,3,2551,2,Semi-Furnished,8.03,9,17,32,13065024
Ghaziabad,3,1,1567,0,Semi-Furnished,7.62,15,11,14,7636794
Rohini,5,1,514,0,Semi-Furnished,4.35,5,11,11,2371786
Gurugram,4,4,1041,1,Unfurnished,2.22,14,1,15,8972769
Janakpuri,1,2,1926,0,Furnished,4.38,5,12,26,11395939
Karol Bagh,1,2,2154,1,Unfurnished,2.85,1,14,31,11837120
Laxmi Nagar,4,1,2211,2,Unfurnished,5.29,18,10,15,10502925
Gurugram,2,1,3814,2,Semi-Furnished,8.02,19,6,22,34075537
Janakpuri,4,1,1572,1,Furnished,8.27,7,5,8,8597181
South Extension,3,2,1583,0,Furnished,13.54,13,10,20,14641820
Karol Bagh,5,1,1551,2,Semi-Furnished,3.38,9,8,16,7927728
Ghaziabad,4,1,1730,0,Unfurnished,8.99,14,4,22,7741488
South Extension,2,3,1487,1,Semi-Furnished,9.55,5,10,24,13976225
Dwarka,4,1,3328,1,Unfurnished,1.07,1,16,17,18071625
Saket,2,1,1817,1,Furnished,10.15,14,12,30,9297173
Karol Bagh,1,1,1865,1,Semi-Furnished,11.13,15,18,29,9394005
Dwarka,2,1,3514,2,Furnished,2.6,17,9,16,19457230
Karol Bagh,5,4,3649,1,Unfurnished,11.31,10,13,27,17010966
Noida,2,3,3779,0,Unfurnished,9.13,18,15,24,17480422
Karol Bagh,4,2,571,2,Unfurnished,11.2,17,18,36,2447210
Ghaziabad,1,1,1265,2,Unfurnished,3.87,10,11,20,6142975
Rohini,1,3,1603,0,Semi-Furnished,7.77,17,9,10,7490970
Janakpuri,1,2,725,2,Unfurnished,10.57,3,9,21,3604699
Ghaziabad,1,3,2198,0,Furnished,11.22,15,9,13,11319166
Janakpuri,1,4,2674,1,Furnished,3.89,19,7,10,14738408
Gurugram,1,2,3484,2,Semi-Furnished,3.28,7,7,13,34912331
Gurugram,3,4,2183,1,Furnished,11.75,19,4,5,20116288
Vasant Kunj,2,1,1289,0,Furnished,5.08,10,9,11,13650723
Rohini,2,1,1426,0,Semi-Furnished,4.98,10,3,19,8025217
Noida,1,3,2775,1,Semi-Furnished,14.87,14,3,22,12439337
Saket,2,1,617,0,Unfurnished,3.48,19,7,22,2536865
Dwarka,2,3,2649,1,Unfurnished,1.75,0,3,21,13817229
South Extension,3,4,555,2,Semi-Furnished,6.86,12,16,23,5423666
Saket,2,4,813,0,Semi-Furnished,3.95,2,7,26,4368906
Saket,2,1,2687,0,Unfurnished,4.81,8,18,21,13185146
Laxmi Nagar,5,4,1361,0,Unfurnished,12.12,7,7,19,6316365
Rohini,5,1,1517,1,Semi-Furnished,6.68,18,10,20,7356617
Ghaziabad,3,4,3319,1,Unfurnished,2.77,16,13,22,16736922
Ghaziabad,2,3,3101,0,Unfurnished,14.26,3,4,7,14406577
Vasant Kunj,1,2,2419,0,Unfurnished,5.97,11,10,21,21121769
Noida,1,4,2989,2,Semi-Furnished,0.94,0,4,16,17492187
Karol Bagh,2,4,2560,1,Semi-Furnished,6.87,16,7,22,12416606
Rohini,2,3,1231,0,Unfurnished,11.09,16,6,6,5808022
Karol Bagh,5,2,883,1,Semi-Furnished,9.89,3,1,10,5016215
Vasant Kunj,4,1,2775,0,Unfurnished,13.56,19,8,11,21813138
Ghaziabad,3,4,2200,0,Furnished,9.37,3,1,20,11947769
Gurugram,4,4,3155,1,Semi-Furnished,9.05,9,16,23,28677810
South Extension,1,3,1805,0,Unfurnished,3.77,19,13,18,15829610
Gurugram,3,2,2288,0,Furnished,8.23,15,1,15,21955278
Vasant Kunj,4,1,1762,1,Unfurnished,1.08,17,9,9,15393092
Laxmi Nagar,2,3,1389,1,Furnished,3.38,0,13,32,8564147
Karol Bagh,2,3,3779,1,Unfurnished,14.69,3,12,18,17482843
Laxmi Nagar,3,1,3679,2,Unfurnished,6.23,6,12,13,18444398
Pitampura,4,4,2927,0,Semi-Furnished,12.23,4,2,6,14344448
Laxmi Nagar,5,3,1757,1,Unfurnished,12.25,1,14,17,8066398
Janakpuri,4,4,3187,0,Semi-Furnished,0.98,4,16,19,18512829
Saket,3,1,2961,0,Furnished,6.49,2,6,18,16842128
Gurugram,2,1,529,0,Furnished,4.44,15,3,6,4968900
Vasant Kunj,3,4,3849,2,Unfurnished,3.87,12,9,26,34245248
Ghaziabad,4,2,1682,0,Semi-Furnished,7.26,1,17,32,9242414
South Extension,4,4,3296,2,Furnished,3.03,7,5,6,35470047
Ghaziabad,3,4,2486,0,Furnished,5.5,14,5,13,13962888
Dwarka,3,3,2514,0,Furnished,0.96,14,11,26,14920073
Karol Bagh,4,2,737,2,Furnished,11.1,9,16,27,3760657
Janakpuri,3,4,3621,2,Semi-Furnished,12.2,18,8,27,16853338
Laxmi Nagar,4,2,1065,1,Semi-Furnished,11.53,7,19,35,5151681
Noida,1,1,1608,0,Semi-Furnished,2.45,19,13,21,8358666
Noida,4,4,3169,0,Furnished,10.04,3,7,23,18223853
Saket,3,2,1099,2,Semi-Furnished,1.35,3,1,15,6716128
Ghaziabad,5,1,1526,1,Furnished,0.71,12,19,20,9059336
Noida,4,1,1154,2,Furnished,12.82,15,17,32,6093823
Janakpuri,4,2,1700,0,Furnished,11.08,1,15,30,9149039
South Extension,5,2,3483,0,Unfurnished,10.15,11,14,27,29494203
Ghaziabad,2,2,2282,0,Furnished,10.76,8,8,27,12699652
Pitampura,2,3,1346,0,Unfurnished,5.82,5,12,26,7005482
Janakpuri,2,3,2950,2,Unfurnished,12.52,1,15,26,14620129
Gurugram,1,3,3233,1,Unfurnished,8.9,6,13,26,28041414
Ghaziabad,3,4,3911,0,Unfurnished,3.69,8,4,5,20071933
Karol Bagh,1,1,3910,2,Unfurnished,1.13,17,16,17,19364861
Gurugram,4,1,980,1,Unfurnished,12.2,6,17,31,8628989
Noida,5,4,3125,2,Unfurnished,11.48,19,11,29,14074750
Rohini,3,4,3118,1,Semi-Furnished,5.6,1,2,10,17561833
South Extension,3,3,2866,2,Semi-Furnished,8.35,3,8,25,27304538
Pitampura,2,2,1423,2,Furnished,1.33,6,8,17,8877248
Ghaziabad,3,1,2730,0,Furnished,11.58,18,9,24,13925734
Janakpuri,5,1,1967,0,Semi-Furnished,3.64,9,18,28,10882365
Laxmi Nagar,4,4,2370,2,Semi-Furnished,4.55,18,15,33,12391566
Karol Bagh,1,3,630,2,Furnished,1.93,9,17,31,3349374
Rohini,1,3,2647,2,Unfurnished,12.0,0,18,28,13158348
Karol Bagh,5,1,1254,1,Furnished,5.92,16,18,28,6708895
Rohini,4,1,721,0,Semi-Furnished,5.68,4,14,26,4363179
Dwarka,5,4,3649,0,Semi-Furnished,2.07,3,19,19,20883033
Vasant Kunj,5,2,3252,0,Semi-Furnished,4.29,16,3,19,30765815
Gurugram,1,2,713,2,Furnished,6.25,12,13,32,7563151
Laxmi Nagar,2,2,2673,0,Furnished,7.03,10,18,30,14545957
Vasant Kunj,4,4,3162,2,Semi-Furnished,10.11,6,2,12,29418253
Janakpuri,5,1,3347,0,Semi-Furnished,11.61,6,12,28,17023788
Rohini,3,3,806,1,Furnished,6.68,5,16,24,4481632
Gurugram,1,1,2754,2,Furnished,3.39,11,9,24,28955528
Karol Bagh,4,4,654,2,Semi-Furnished,4.88,9,14,16,3180158
Janakpuri,4,1,1076,0,Semi-Furnished,1.37,8,18,18,5941616
Janakpuri,2,4,1372,1,Semi-Furnished,1.33,3,13,20,7676241
Laxmi Nagar,1,1,3138,2,Furnished,14.2,5,2,6,16874136
Ghaziabad,1,2,2010,0,Unfurnished,2.38,13,15,26,10450213
Ghaziabad,4,2,1472,0,Furnished,4.77,11,10,18,7984427
Vasant Kunj,1,4,2339,2,Furnished,1.5,6,11,14,25762493
Vasant Kunj,2,3,2106,1,Unfurnished,8.34,12,9,26,17578387
Gurugram,4,4,1802,0,Semi-Furnished,10.56,1,7,15,16501975
Janakpuri,5,3,1700,0,Unfurnished,14.5,14,11,22,7427858
Janakpuri,1,4,2106,0,Furnished,12.8,9,16,26,11040208
Dwarka,2,1,1845,1,Unfurnished,4.31,7,6,14,9265556
Laxmi Nagar,5,1,667,2,Unfurnished,5.63,17,11,12,2811229
Vasant Kunj,1,3,1586,2,Furnished,0.62,17,17,17,16278512
Gurugram,4,4,1705,1,Unfurnished,10.72,15,6,20,13784079
Rohini,1,3,2442,2,Unfurnished,8.79,13,5,17,11428760
Noida,1,4,2790,0,Unfurnished,10.23,17,18,21,12209978
Ghaziabad,5,1,2089,2,Semi-Furnished,6.93,15,1,12,10560159
Gurugram,5,2,2042,1,Furnished,5.56,11,4,9,20313213
Pitampura,4,3,3256,2,Unfurnished,11.58,15,19,34,14172641
Janakpuri,1,2,713,0,Semi-Furnished,2.23,4,13,24,4249456
Laxmi Nagar,3,4,1340,2,Semi-Furnished,0.78,18,10,13,7579356
Janakpuri,5,4,2750,1,Unfurnished,10.68,4,18,20,13186951
Laxmi Nagar,4,3,3716,2,Unfurnished,14.59,10,4,20,16937648
Karol Bagh,1,4,3691,2,Semi-Furnished,5.48,13,17,35,19029793
Dwarka,2,4,1438,2,Semi-Furnished,9.71,4,1,10,7044939
Dwarka,2,1,3984,0,Furnished,2.68,11,16,34,22877202
Dwarka,4,2,1091,0,Unfurnished,6.21,9,5,23,4878593
Ghaziabad,4,2,3674,1,Unfurnished,5.91,4,11,27,18169849
Rohini,5,3,1397,2,Semi-Furnished,11.81,1,14,14,6862743
Janakpuri,2,1,3058,1,Semi-Furnished,5.45,16,13,24,15277037
South Extension,2,4,2473,0,Semi-Furnished,5.86,11,17,30,23308860
Laxmi Nagar,3,1,779,0,Unfurnished,7.0,7,5,16,3808516
Noida,5,2,1027,1,Furnished,7.57,16,9,21,5153855
Dwarka,4,3,3351,2,Furnished,10.09,5,3,17,19010868
Saket,3,2,2253,2,Unfurnished,11.17,0,11,15,10823874
